ZoneID0,AgeID,FamID,Val
101000,1,1,9135
101000,1,2,47183
101000,2,1,11663
101000,2,2,27219
101000,3,1,5795
101000,3,2,9840
101000,4,1,53738
101000,4,2,23957
101000,5,1,54326
101000,5,2,37475
101000,6,1,105021
101000,6,2,138531
101000,7,1,30451
101000,7,2,30197
101000,8,1,20682
101000,8,2,18509
101000,9,1,14559
101000,9,2,9223
101000,10,1,5152
101000,10,2,1008
147000,1,1,1267
147000,1,2,7239
147000,2,1,1781
147000,2,2,4640
147000,3,1,961
147000,3,2,1792
147000,4,1,7635
147000,4,2,3473
147000,5,1,6165
147000,5,2,5050
147000,6,1,13214
147000,6,2,21647
147000,7,1,5401
147000,7,2,6123
147000,8,1,4221
147000,8,2,4443
147000,9,1,4185
147000,9,2,3147
147000,10,1,1770
147000,10,2,510
151000,1,1,716
151000,1,2,3946
151000,2,1,1018
151000,2,2,3050
151000,3,1,506
151000,3,2,1241
151000,4,1,1908
151000,4,2,2041
151000,5,1,1532
151000,5,2,1294
151000,6,1,5003
151000,6,2,10927
151000,7,1,2296
151000,7,2,4383
151000,8,1,1648
151000,8,2,2842
151000,9,1,1933
151000,9,2,2308
151000,10,1,987
151000,10,2,460
153000,1,1,623
153000,1,2,2850
153000,2,1,675
153000,2,2,2229
153000,3,1,342
153000,3,2,915
153000,4,1,1465
153000,4,2,1637
153000,5,1,1409
153000,5,2,1141
153000,6,1,4155
153000,6,2,8024
153000,7,1,1645
153000,7,2,3055
153000,8,1,1296
153000,8,2,2293
153000,9,1,1225
153000,9,2,1269
153000,10,1,656
153000,10,2,224
155000,1,1,108
155000,1,2,1291
155000,2,1,202
155000,2,2,1202
155000,3,1,109
155000,3,2,471
155000,4,1,231
155000,4,2,474
155000,5,1,151
155000,5,2,129
155000,6,1,877
155000,6,2,3622
155000,7,1,472
155000,7,2,1610
155000,8,1,504
155000,8,2,1232
155000,9,1,549
155000,9,2,908
155000,10,1,330
155000,10,2,137
157000,1,1,675
157000,1,2,5560
157000,2,1,1255
157000,2,2,5766
157000,3,1,798
157000,3,2,2492
157000,4,1,2294
157000,4,2,3067
157000,5,1,2028
157000,5,2,1155
157000,6,1,6593
157000,6,2,16511
157000,7,1,3494
157000,7,2,7182
157000,8,1,2836
157000,8,2,4832
157000,9,1,2963
157000,9,2,3276
157000,10,1,1525
157000,10,2,536
159000,1,1,967
159000,1,2,5786
159000,2,1,1361
159000,2,2,4852
159000,3,1,727
159000,3,2,1925
159000,4,1,2936
159000,4,2,2924
159000,5,1,2579
159000,5,2,1933
159000,6,1,7272
159000,6,2,16272
159000,7,1,3189
159000,7,2,5374
159000,8,1,2454
159000,8,2,3721
159000,9,1,2092
159000,9,2,2049
159000,10,1,1251
159000,10,2,337
161000,1,1,288
161000,1,2,1904
161000,2,1,360
161000,2,2,1365
161000,3,1,202
161000,3,2,549
161000,4,1,910
161000,4,2,965
161000,5,1,855
161000,5,2,797
161000,6,1,2769
161000,6,2,5291
161000,7,1,1157
161000,7,2,1884
161000,8,1,776
161000,8,2,1319
161000,9,1,810
161000,9,2,809
161000,10,1,467
161000,10,2,158
163000,1,1,399
163000,1,2,2262
163000,2,1,615
163000,2,2,2049
163000,3,1,318
163000,3,2,744
163000,4,1,1183
163000,4,2,1156
163000,5,1,894
163000,5,2,704
163000,6,1,2899
163000,6,2,6572
163000,7,1,1341
163000,7,2,2423
163000,8,1,1083
163000,8,2,1838
163000,9,1,932
163000,9,2,1013
163000,10,1,592
163000,10,2,198
165000,1,1,450
165000,1,2,1951
165000,2,1,586
165000,2,2,1825
165000,3,1,295
165000,3,2,779
165000,4,1,1356
165000,4,2,1360
165000,5,1,1103
165000,5,2,696
165000,6,1,2904
165000,6,2,5778
165000,7,1,1217
165000,7,2,2093
165000,8,1,922
165000,8,2,1541
165000,9,1,978
165000,9,2,1206
165000,10,1,324
165000,10,2,166
167000,1,1,794
167000,1,2,4423
167000,2,1,1053
167000,2,2,3681
167000,3,1,575
167000,3,2,1382
167000,4,1,2166
167000,4,2,2131
167000,5,1,1786
167000,5,2,1292
167000,6,1,5685
167000,6,2,12519
167000,7,1,2265
167000,7,2,4231
167000,8,1,1767
167000,8,2,3101
167000,9,1,1709
167000,9,2,1757
167000,10,1,849
167000,10,2,277
169000,1,1,767
169000,1,2,4533
169000,2,1,971
169000,2,2,3473
169000,3,1,552
169000,3,2,1436
169000,4,1,1956
169000,4,2,2448
169000,5,1,1958
169000,5,2,2079
169000,6,1,6310
169000,6,2,12994
169000,7,1,2165
169000,7,2,4238
169000,8,1,1593
169000,8,2,3046
169000,9,1,1658
169000,9,2,2148
169000,10,1,656
169000,10,2,277
173000,1,1,516
173000,1,2,4284
173000,2,1,930
