ZoneID0,AgeID,GenderID,Val
101000,1,1,28755
101000,1,2,27563
101000,2,1,19868
101000,2,2,19014
101000,3,1,7911
101000,3,2,7724
101000,4,1,35614
101000,4,2,42081
101000,5,1,43971
101000,5,2,47830
101000,6,1,124004
101000,6,2,119548
101000,7,1,30905
101000,7,2,29743
101000,8,1,18628
101000,8,2,20563
101000,9,1,10326
101000,9,2,13456
101000,10,1,1826
101000,10,2,4334
147000,1,1,4405
147000,1,2,4101
147000,2,1,3300
147000,2,2,3121
147000,3,1,1417
147000,3,2,1336
147000,4,1,5119
147000,4,2,5989
147000,5,1,5350
147000,5,2,5865
147000,6,1,17095
147000,6,2,17766
147000,7,1,5530
147000,7,2,5994
147000,8,1,3792
147000,8,2,4872
147000,9,1,3002
147000,9,2,4330
147000,10,1,694
147000,10,2,1586
151000,1,1,2350
151000,1,2,2312
151000,2,1,2068
151000,2,2,2000
151000,3,1,916
151000,3,2,831
151000,4,1,2095
151000,4,2,1854
151000,5,1,1475
151000,5,2,1351
151000,6,1,7891
151000,6,2,8039
151000,7,1,3319
151000,7,2,3360
151000,8,1,2056
151000,8,2,2434
151000,9,1,1717
151000,9,2,2524
151000,10,1,574
151000,10,2,873
153000,1,1,1785
153000,1,2,1688
153000,2,1,1449
153000,2,2,1455
153000,3,1,606
153000,3,2,651
153000,4,1,1582
153000,4,2,1520
153000,5,1,1305
153000,5,2,1245
153000,6,1,6170
153000,6,2,6009
153000,7,1,2312
153000,7,2,2388
153000,8,1,1710
153000,8,2,1879
153000,9,1,1100
153000,9,2,1394
153000,10,1,300
153000,10,2,580
155000,1,1,729
155000,1,2,670
155000,2,1,717
155000,2,2,687
155000,3,1,316
155000,3,2,264
155000,4,1,377
155000,4,2,328
155000,5,1,127
155000,5,2,153
155000,6,1,2205
155000,6,2,2294
155000,7,1,1005
155000,7,2,1077
155000,8,1,809
155000,8,2,927
155000,9,1,667
155000,9,2,790
155000,10,1,178
155000,10,2,289
157000,1,1,3242
157000,1,2,2993
157000,2,1,3617
157000,2,2,3404
157000,3,1,1689
157000,3,2,1601
157000,4,1,2779
157000,4,2,2582
157000,5,1,1528
157000,5,2,1655
157000,6,1,10926
157000,6,2,12178
157000,7,1,5102
157000,7,2,5574
157000,8,1,3512
157000,8,2,4156
157000,9,1,2664
157000,9,2,3575
157000,10,1,650
157000,10,2,1411
159000,1,1,3470
159000,1,2,3283
159000,2,1,3205
159000,2,2,3008
159000,3,1,1426
159000,3,2,1226
159000,4,1,3127
159000,4,2,2733
159000,5,1,2387
159000,5,2,2125
159000,6,1,11790
159000,6,2,11754
159000,7,1,4278
159000,7,2,4285
159000,8,1,2903
159000,8,2,3272
159000,9,1,1764
159000,9,2,2377
159000,10,1,466
159000,10,2,1122
161000,1,1,1166
161000,1,2,1026
161000,2,1,896
161000,2,2,829
161000,3,1,428
161000,3,2,323
161000,4,1,1002
161000,4,2,873
161000,5,1,843
161000,5,2,809
161000,6,1,4157
161000,6,2,3903
161000,7,1,1544
161000,7,2,1497
161000,8,1,955
161000,8,2,1140
161000,9,1,668
161000,9,2,951
161000,10,1,193
161000,10,2,432
163000,1,1,1323
163000,1,2,1338
163000,2,1,1368
163000,2,2,1296
163000,3,1,534
163000,3,2,528
163000,4,1,1281
163000,4,2,1058
163000,5,1,817
163000,5,2,781
163000,6,1,4703
163000,6,2,4768
163000,7,1,1829
163000,7,2,1935
163000,8,1,1365
163000,8,2,1556
163000,9,1,817
163000,9,2,1128
163000,10,1,264
163000,10,2,526
165000,1,1,1225
165000,1,2,1176
165000,2,1,1221
165000,2,2,1190
165000,3,1,574
165000,3,2,500
165000,4,1,1452
165000,4,2,1264
165000,5,1,950
165000,5,2,849
165000,6,1,4325
165000,6,2,4357
165000,7,1,1640
165000,7,2,1670
165000,8,1,1112
165000,8,2,1351
165000,9,1,964
165000,9,2,1220
165000,10,1,206
165000,10,2,284
167000,1,1,2710
167000,1,2,2507
167000,2,1,2399
167000,2,2,2335
167000,3,1,1025
167000,3,2,932
167000,4,1,2231
167000,4,2,2066
167000,5,1,1590
167000,5,2,1488
167000,6,1,9059
167000,6,2,9145
167000,7,1,3171
167000,7,2,3325
167000,8,1,2284
167000,8,2,2584
167000,9,1,1528
167000,9,2,1938
167000,10,1,386
167000,10,2,740
169000,1,1,2724
169000,1,2,2576
169000,2,1,2263
169000,2,2,2181
169000,3,1,1043
169000,3,2,945
169000,4,1,2279
169000,4,2,2125
169000,5,1,2017
169000,5,2,2020
169000,6,1,10087
169000,6,2,9217
169000,7,1,3280
169000,7,2,3123
169000,8,1,2191
169000,8,2,2448
169000,9,1,1689
169000,9,2,2117
169000,10,1,328
169000,10,2,605
173000,1,1,2478
173000,1,2,2322
173000,2,1,2607
173000,2,2,2443
173000,3,1,1186
173000,3,2,1052
173000,4,1,3313
173000,4,2,2607
173000,5,1,2249
173000,5,2,1651
173000,6,1,8597
173000,6,2,9018
173000,7,1,3555
173000,7,2,3876
173000,8,1,2624
173000,8,2,3096
173000,9,1,1790
173000,9,2,2352
173000,10,1,476
173000,10,2,1142
175000,1,1,2152
175000,1,2,2005
175000,2,1,1874
175000,2,2,1699
175000,3,1,785
175000,3,2,683
175000,4,1,1616
175000,4,2,1595
175000,5,1,1340
175000,5,2,1341
175000,6,1,7240
175000,6,2,7238
175000,7,1,2627
175000,7,2,2757
175000,8,1,1781
175000,8,2,2061
175000,9,1,1139
175000,9,2,1565
175000,10,1,315
175000,10,2,750
183000,1,1,1093
183000,1,2,1126
183000,2,1,1027
183000,2,2,980
183000,3,1,408
183000,3,2,440
183000,4,1,1120
183000,4,2,978
183000,5,1,800
183000,5,2,790
183000,6,1,4129
183000,6,2,3904
183000,7,1,1404
183000,7,2,1427
183000,8,1,930
183000,8,2,1069
183000,9,1,714
183000,9,2,815
183000,10,1,120
183000,10,2,183
185000,1,1,2100
185000,1,2,2015
185000,2,1,2051
185000,2,2,1826
185000,3,1,884
185000,3,2,817
185000,4,1,1486
185000,4,2,1347
185000,5,1,956
185000,5,2,891
185000,6,1,7277
185000,6,2,7344
185000,7,1,2837
185000,7,2,2926
185000,8,1,2050
185000,8,2,2264
185000,9,1,1365
185000,9,2,1685
185000,10,1,328
185000,10,2,593
187000,1,1,950
187000,1,2,872
187000,2,1,856
187000,2,2,798
187000,3,1,318
187000,3,2,310
187000,4,1,641
187000,4,2,571
187000,5,1,460
187000,5,2,423
187000,6,1,2946
187000,6,2,2929
187000,7,1,899
187000,7,2,858
187000,8,1,688
187000,8,2,768
187000,9,1,652
187000,9,2,786
187000,10,1,127
187000,10,2,179
190000,1,1,2218
190000,1,2,2054
190000,2,1,2115
190000,2,2,1910
190000,3,1,888
190000,3,2,877
190000,4,1,1346
190000,4,2,1167
190000,5,1,608
190000,5,2,613
190000,6,1,6479
190000,6,2,6895
190000,7,1,2836
190000,7,2,2842
190000,8,1,1941
190000,8,2,2349
190000,9,1,1619
190000,9,2,2038
190000,10,1,483
190000,10,2,799
201000,1,1,1343
201000,1,2,1274
