ZoneID0,AgeID,LmaID,Val
101000,1,3,56321
101000,2,3,38882
101000,3,3,15635
101000,4,1,11946
101000,4,2,13966
101000,4,3,16558
101000,4,4,194
101000,4,5,627
101000,4,6,5254
101000,4,7,28571
101000,4,8,580
101000,5,1,41681
101000,5,2,10357
101000,5,3,9352
101000,5,4,256
101000,5,5,3673
101000,5,6,7663
101000,5,7,17162
101000,5,8,1657
101000,6,1,151405
101000,6,2,23224
101000,6,3,5609
101000,6,4,5293
101000,6,5,11167
101000,6,6,27314
101000,6,7,7345
101000,6,8,12195
101000,7,1,30665
101000,7,2,7267
101000,7,3,169
101000,7,4,9151
101000,7,5,2976
101000,7,6,6534
101000,7,7,219
101000,7,8,3667
101000,8,1,3462
101000,8,2,3085
101000,8,3,47
101000,8,4,29941
101000,8,5,248
101000,8,6,969
101000,8,8,1439
101000,9,1,148
101000,9,2,569
101000,9,3,11
101000,9,4,22407
101000,9,5,5
101000,9,6,152
101000,9,8,490
101000,10,1,2
101000,10,2,28
101000,10,4,6011
101000,10,6,86
101000,10,8,33
147000,1,3,8506
147000,2,3,6421
147000,3,3,2753
147000,4,1,1456
147000,4,2,2260
147000,4,3,2579
147000,4,4,32
147000,4,5,80
147000,4,6,604
147000,4,7,4005
147000,4,8,92
147000,5,1,5572
147000,5,2,1292
147000,5,3,1081
147000,5,4,33
147000,5,5,410
147000,5,6,624
147000,5,7,2011
147000,5,8,193
147000,6,1,23805
147000,6,2,2931
147000,6,3,646
147000,6,4,823
147000,6,5,1351
147000,6,6,2650
147000,6,7,840
147000,6,8,1814
147000,7,1,6526
147000,7,2,1277
147000,7,3,38
147000,7,4,1570
147000,7,5,477
147000,7,6,816
147000,7,7,39
147000,7,8,782
147000,8,1,815
147000,8,2,672
147000,8,3,12
147000,8,4,6609
147000,8,5,49
147000,8,6,143
147000,8,8,365
147000,9,1,47
147000,9,2,224
147000,9,3,7
147000,9,4,6884
147000,9,5,1
147000,9,6,18
147000,9,8,152
147000,10,1,4
147000,10,2,21
147000,10,4,2229
147000,10,6,8
147000,10,8,19
151000,1,3,4662
151000,2,3,4068
151000,3,3,1747
151000,4,1,657
151000,4,2,649
151000,4,3,903
151000,4,4,18
151000,4,5,67
151000,4,6,340
151000,4,7,1300
151000,4,8,14
151000,5,1,1391
151000,5,2,285
151000,5,3,265
151000,5,4,34
151000,5,5,144
151000,5,6,250
151000,5,7,420
151000,5,8,37
151000,6,1,10784
151000,6,2,1611
151000,6,3,262
151000,6,4,776
151000,6,5,585
151000,6,6,1004
151000,6,7,344
151000,6,8,564
151000,7,1,3801
151000,7,2,772
151000,7,3,5
151000,7,4,1312
151000,7,5,249
151000,7,6,292
151000,7,7,10
151000,7,8,238
151000,8,1,348
151000,8,2,330
151000,8,3,5
151000,8,4,3644
151000,8,5,26
151000,8,6,32
151000,8,8,104
151000,9,1,7
151000,9,2,64
151000,9,3,2
151000,9,4,4123
151000,9,6,6
151000,9,8,39
151000,10,1,1
151000,10,2,8
151000,10,4,1434
151000,10,6,1
151000,10,8,3
153000,1,3,3473
153000,2,3,2904
153000,3,3,1257
153000,4,1,507
153000,4,2,507
153000,4,3,651
153000,4,4,12
153000,4,5,54
153000,4,6,283
153000,4,7,1067
153000,4,8,22
153000,5,1,1217
153000,5,2,304
153000,5,3,202
153000,5,4,27
153000,5,5,154
153000,5,6,277
153000,5,7,319
153000,5,8,51
153000,6,1,7230
153000,6,2,1446
153000,6,3,268
153000,6,4,567
153000,6,5,685
153000,6,6,1169
153000,6,7,306
153000,6,8,508
153000,7,1,2350
153000,7,2,599
153000,7,3,8
153000,7,4,898
153000,7,5,232
153000,7,6,407
153000,7,7,12
153000,7,8,194
153000,8,1,260
153000,8,2,209
153000,8,3,1
153000,8,4,2965
153000,8,5,25
153000,8,6,48
153000,8,8,81
153000,9,1,9
153000,9,2,47
153000,9,3,1
153000,9,4,2396
153000,9,6,13
153000,9,8,27
153000,10,1,1
153000,10,2,4
153000,10,4,861
153000,10,6,14
153000,10,8,1
155000,1,3,1399
155000,2,3,1404
155000,3,3,580
155000,4,1,119
155000,4,2,141
155000,4,3,152
155000,4,4,3
155000,4,5,9
155000,4,6,65
155000,4,7,214
155000,4,8,2
155000,5,1,145
155000,5,2,36
155000,5,3,14
155000,5,4,1
155000,5,5,11
155000,5,6,38
155000,5,7,24
155000,5,8,12
155000,6,1,3167
155000,6,2,447
155000,6,3,53
155000,6,4,79
155000,6,5,138
